SAMPLE_DATE,SUM,MEAN,COUNT
7/29/2019,0.19,0.00296875,64
7/30/2019,0.195,0.0040625,48
8/12/2019,2.0779,0.006857756,303
8/13/2019,0.27845,0.00696125,40
8/14/2019,0.82655,0.004217092,196
8/15/2019,0.8003,0.02162973,37
8/20/2019,0.1826,0.002571831,71
8/21/2019,1.4584,0.016026374,91
8/22/2019,32.55997,0.392288795,83
8/27/2019,0.51104,0.008242581,62
8/28/2019,15.26914,0.401819474,38
8/29/2019,0.3479,0.005042029,69
8/30/2019,0.2478,0.0118,21
9/3/2019,0.0061,0.0007625,8
9/4/2019,2.8826,0.262054545,11
9/5/2019,0.05572,0.003277647,17
9/9/2019,1.3117,0.021861667,60
9/10/2019,0.4239,0.007707273,55
9/11/2019,1.0352,0.007963077,130
9/12/2019,0.94435,0.006295667,150
9/18/2019,0.02975,0.002125,14
9/20/2019,13.32208,0.2081575,64
9/24/2019,0.07185,0.002566071,28
9/26/2019,1.65255,0.11017,15
